Major_Category_en,Sub_Category_en,Major_Category_ja,Sub_Category_ja,Major_Category_ko,Sub_Category_ko,Korean,Japanese,English
Characters,Wild and Horned Hermit,人妖部門,東方茨歌仙,인요부문,동방자가선,影華扇（断善修悪の怪腕 - 茨木童子の腕）,影華扇（断善修悪の怪腕 - 茨木童子の腕）,Kasen's arm
Characters,Wild and Horned Hermit,人妖部門,東方茨歌仙,인요부문,동방자가선,鬼華扇（奸佞邪智の鬼）,鬼華扇（奸佞邪智の鬼）,Kasen's true form
Characters,Forbidden Scrollery,人妖部門,東方鈴奈庵,인요부문,동방영나암,모토오리 코스즈,本居 小鈴,Kosuzu Motoori
Characters,Lotus Eaters,人妖部門,東方酔蝶華,인요부문,동방취접화,오쿠노다 미요이,奥野田 美宵,Miyoi Okunoda
Characters,Lotus Eaters,人妖部門,東方酔蝶華,인요부문,동방취접화,鯢呑亭の店主,鯢呑亭の店主,The owner of the Geidon pub
Characters,Lotus Eaters,人妖部門,東方酔蝶華,인요부문,동방취접화,鯢呑亭の常連,鯢呑亭の常連,Regular customers of the Guidon pub
Characters,Touhou Chireikiden,人妖部門,東方智霊奇伝,인요부문,동방지령기전,미야데구치 미즈치,宮出口瑞霊,Mizuchi Miyadeguchi
Characters,Touhou Chireikiden,人妖部門,東方智霊奇伝,인요부문,동방지령기전,선대 무녀,先代巫女,Previous Hakurei Shrine Maiden
Characters,Other (Games),人妖部門,その他（ゲーム）,인요부문,기타(게임),るーこと,るーこと,Ruukoto
Characters,Other (Games),人妖部門,その他（ゲーム）,인요부문,기타(게임),ミミちゃん,ミミちゃん,Mimi-Chan
Characters,Other (Games),人妖部門,その他（ゲーム）,인요부문,기타(게임),魂魄 妖忌,魂魄 妖忌,Youki Konpaku
Characters,Other (Games),人妖部門,その他（ゲーム）,인요부문,기타(게임),レイラ・プリズムリバー,レイラ・プリズムリバー,Leila Prismriver
Characters,Other (Games),人妖部門,その他（ゲーム）,인요부문,기타(게임),核熱造神ヒソウテンソク,核熱造神ヒソウテンソク,Hisoutensoku
Characters,Other (Games),人妖部門,その他（ゲーム）,인요부문,기타(게임),命蓮,命蓮,Myouren Hijiri
Characters,Other (Games),人妖部門,その他（ゲーム）,인요부문,기타(게임),毘沙門天,毘沙門天,Bishamonten
